Unnamed: 0,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
60,KQNC        ,39.9371111111111,-120.948555555556,88.1,0.01,-346.0,CA ,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO                                     "
61,K213BZ,39.2055555555556,-121.820555555556,88.1,0.01,588.0,CA ,CSN INTERNATIONAL                                                           
63,K201ES,33.6175277777778,-114.773305555556,88.1,0.01,0.0,CA ,CSN INTERNATIONAL                                                           
64,KEBR        ,38.2471388888889,-121.501888888889,88.1,0.01,303.0,CA ,"LOAM MEDIA, INC.                                                            "
65,KYML        ,33.0063611111111,-116.586194444444,88.1,0.01,705.0,CA ,"CSN INTERNATIONAL, INC.                                                     "
66,KSRH        ,37.9699444444444,-122.513055555556,88.1,0.01,-70.0,CA ,SAN RAFAEL HIGH SCHOOL                                                      
67,KZSC        ,37.0027222222222,-122.052166666667,88.1,0.01,140.3,CA ,REGENTS OF THE UNIVERSITY OF CALIFORNIA                                     
69,K201AJ,38.91658333333329,-119.963222222222,88.1,0.01,0.0,CA ,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO                                     "
70,K201FV,39.3259444444444,-120.19975,88.1,0.01,0.0,CA ,BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER EDUCATION                   
71,K201IL,39.63025,-106.0475,88.1,0.01,0.0,CO ,COMMUNITY RADIO FOR NORTHERN COLORADO                                       
72,K201FK,39.2947222222222,-102.26075,88.1,0.01,0.0,CO ,CSN INTERNATIONAL                                                           
73,KDNK        ,39.418861111111106,-107.370027777778,88.1,0.01,775.0,CO ,"CARBONDALE COMMUNITY ACCESS RADIO, INC.                                     "
74,KAFM        ,39.0666388888889,-108.745388888889,88.1,0.01,396.6,CO ,"GRAND VALLEY PUBLIC RADIO, INC.                                             "
75,K201HV,37.23725,-104.514972222222,88.1,0.01,0.0,CO ,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        "
76,KVOD        ,39.7327777777778,-105.236111111111,88.1,0.01,238.0,CO ,"PUBLIC BROADCASTING OF COLORADO, INC.                                       "
77,K201HJ,38.4222222222222,-105.151944444444,88.1,0.01,0.0,CO ,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        "
78,K201EC,38.8860833333333,-104.890527777778,88.1,0.01,0.0,CO ,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        "
79,KPGS        ,37.1966666666667,-107.117527777778,88.1,0.01,416.0,CO ,"KUTE, INC.                                                                  "
80,KMPZ        ,38.4466388888889,-106.010555555556,88.1,0.01,827.0,CO ,"CHEYENNE MOUNTAIN PUBLIC BROADCAST HOUSE, INC.                              "
81,K201IP,40.5325,-103.123277777778,88.1,0.01,0.0,CO ,CSN INTERNATIONAL                                                           
82,WESU        ,41.553416666666706,-72.6575833333333,88.1,0.01,11.0,CT ,WESLEYAN                                                                    
83,WMNR        ,41.3189722222222,-73.2531666666667,88.1,0.01,123.0,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
86,WMHS        ,39.7576111111111,-75.6668611111111,88.1,0.01,37.0,DE ,RED CLAY CONSOLIDATED SCHOOL DISTRICT                                       
87,WJIS        ,27.1319722222222,-82.3939722222222,88.1,0.01,121.0,FL ,"RADIO TRAINING NETWORK, INC.                                                "
88,WUBA        ,29.8093888888889,-82.6070555555556,88.1,0.01,0.0,FL ,"NEIGHBORHOODS UNITED FOR A BETTER ALACHUA, INC.                             "
89,WRGP        ,25.5403611111111,-80.4683888888889,88.1,0.01,129.0,FL ,FLORIDA INTERNATIONAL UNIVERSITY BOARD OF TRUSTEES                          
90,WCRJ        ,30.2763611111111,-81.5639722222222,88.1,0.01,194.0,FL ,"RADIO TRAINING NETWORK, INC.                                                "
91,WHIJ        ,29.2380277777778,-82.1209166666667,88.1,0.01,117.0,FL ,"RADIO TRAINING NETWORK, INC.                                                "
92,WUWF        ,30.4038055555556,-86.99275,88.1,0.01,187.2,FL ,THE UNIVERSITY OF WEST FLORIDA                                              
94,WEKI        ,28.5821666666667,-82.5289444444445,88.1,0.01,111.0,FL ,"CALL COMMUNICATIONS GROUP, INC.                                             "
95,WAYF        ,26.5892222222222,-80.212,88.1,0.01,321.0,FL ,HOPE MEDIA GROUP                                                            
96,W219DU,31.2002777777778,-81.4963888888889,88.1,0.01,0.0,GA ,CSN INTERNATIONAL                                                           
97,W201CC,34.1056666666667,-83.9301944444445,88.1,0.01,0.0,GA ,CSN INTERNATIONAL                                                           
98,W201DJ,31.54575,-82.8915277777778,88.1,0.01,0.0,GA ,FAMILY FIRST                                                                
99,WNEE        ,34.0120555555556,-83.29375,88.1,0.01,49.0,GA ,"CLARKE PUBLIC RADIO, INC.                                                   "
100,WLXP        ,32.0635555555556,-81.0487222222222,88.1,0.01,104.0,GA ,"CHRISTIAN MULTIMEDIA NETWORK, INC.                                          "
101,WRJS        ,32.3557222222222,-82.6184722222222,88.1,0.01,82.2,GA ,"GRACE MISSIONARY BAPTIST CHURCH, INC.                                       "
102,WAYT        ,30.6685277777778,-83.9693333333333,88.1,0.01,392.0,GA ,HOPE MEDIA GROUP                                                            
103,WJSP-FM     ,32.8523611111111,-84.7010277777778,88.1,0.01,461.2,GA ,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION                                
105,W201DM,34.0662777777778,-84.4539444444445,88.1,0.01,0.0,GA ,"CSN INTERNATIONAL, INC.                                                     "
107,KHMG        ,13.4880555555556,144.831388888889,88.1,0.01,166.0,GU ,HARVEST CHRISTIAN ACADEMY                                                   
108,KCQA        ,22.1825,-159.333055555556,88.1,0.01,28.0,HI ,"COMMUNITY SERVICE BROADCASTING FOUNDATION, INC.                             "
109,KLHE        ,19.7291666666667,-155.022777777778,88.1,0.01,-34.0,HI ,EDUCATIONAL MEDIA FOUNDATION                                                
110,KHPR        ,21.3334722222222,-157.81475,88.1,0.01,514.0,HI ,"HAWAII PUBLIC RADIO, INC.                                                   "
112,KHPR-FM1,21.5104444444444,-158.145555555556,88.1,0.01,0.0,HI ,"HAWAII PUBLIC RADIO, INC.                                                   "
114,NEW         ,40.7524722222222,-91.1261388888889,88.1,0.01,69.0,IA ,HERITAGE BAPTIST CHURCH                                                     
115,KDPS        ,41.5838888888889,-93.6415277777778,88.1,0.01,85.0,IA ,DES MOINES INDEPENDENT SCHOOL DISTRICT                                      
116,KICB        ,42.4907777777778,-94.2005,88.1,0.01,40.0,IA ,IOWA CENTRAL COMMUNITY COLLEGE                                              
117,KQLF        ,41.0339166666667,-92.4096388888889,88.1,0.01,43.0,IA ,"COMMUNITY BROADCASTING, INC.                                                "
118,KOIA        ,42.6683055555556,-94.9933333333333,88.1,0.01,112.2,IA ,"SAINT GABRIEL COMMUNICATIONS, LTD                                           "
119,KBBG        ,42.5124722222222,-92.3235,88.1,0.01,47.0,IA ,"AFRO AMERICAN COMMUNITY BROADCASTING, INC.                                  "
120,KTFY        ,42.7299166666667,-114.419194444444,88.1,0.01,199.0,ID ,"IDAHO CONFERENCE OF SEVENTH-DAY ADVENTISTS, INC.                            "
121,K201JC,44.5524722222222,-114.090222222222,88.1,0.01,0.0,ID ,IDAHO STATE BOARD OF EDUCATION                                              
122,KRRB        ,43.6206944444444,-117.210694444444,88.1,0.01,298.0,ID ,"PENSACOLA CHRISTIAN COLLEGE, INC.                                           "
123,K201IG,43.7993611111111,-111.776361111111,88.1,0.01,0.0,ID ,IDAHO STATE UNIVERSITY                                                      
124,WCSW        ,40.4772222222222,-88.5538888888889,88.1,0.01,96.0,IL ,2820 COMMUNICATIONS INC
125,WESN        ,40.4911388888889,-88.9936666666667,88.1,0.01,30.0,IL ,ILLINOIS WESLEYAN UNIVERSITY                                                
126,WWTG        ,42.1058611111111,-88.3773055555556,88.1,0.01,33.0,IL ,CARY GROVE ADVENTIST FELLOWSHIP                                             
127,WZGL        ,39.47725,-88.1403055555556,88.1,0.01,69.9,IL ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
128,WCRX        ,41.8744166666667,-87.6248611111111,88.1,0.01,71.0,IL ,COLUMBIA COLLEGE                                                            
129,WBMF        ,41.4214166666667,-87.6442222222222,88.1,0.01,114.0,IL ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          "
130,WNLD        ,39.80975,-88.9920277777778,88.1,0.01,93.0,IL ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
131,WAXR        ,41.47975,-90.269,88.1,0.01,98.0,IL ,AMERICAN FAMILY ASSOCIATION                                                 
132,WIHM-FM     ,37.7175,-88.5436111111111,88.1,0.01,96.8,IL ,COVENANT NETWORK                                                            
133,W201BL,39.7217222222222,-90.1959444444445,88.1,0.01,0.0,IL ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          "
134,WLTL        ,41.8125277777778,-87.8808888888889,88.1,0.01,42.0,IL ,LYONS TOWNSHIP HIGH SCHOOL                                                  
135,WLRA        ,41.6028055555556,-88.0803333333333,88.1,0.01,40.0,IL ,LEWIS UNIVERSITY                                                            
136,WPTH        ,38.6972777777778,-88.0369722222222,88.1,0.01,61.0,IL ,"VCY AMERICA, INC.                                                           "
137,WLWJ        ,40.0014444444444,-89.6970555555556,88.1,0.01,100.0,IL ,"GOOD NEWS RADIO, INC.                                                       "
138,WTZI        ,41.9555833333333,-87.8672777777778,88.1,0.01,22.0,IL ,RADIOED                                                                     
139,WSOG        ,41.29225,-89.1331388888889,88.1,0.01,80.0,IL ,"SPIRIT EDUCATIONAL ASSOCIATION, INC.                                        "
140,WLWX        ,41.8691944444444,-88.0989444444444,88.1,0.01,43.0,IL ,EDUCATIONAL MEDIA FOUNDATION                                                
142,WNTH        ,42.0941388888889,-87.7190277777778,88.1,0.01,46.0,IL ,BOARD OF EDUCATION NEW TRIER TOWNSHIP DISTRICT 203
143,WVPE        ,41.6136666666667,-86.1888888888889,88.1,0.01,304.0,IN ,ELKHART COMMUNITY SCHOOLS                                                   
144,WMBL        ,38.7639166666667,-86.5208055555556,88.1,0.01,122.0,IN ,THE MOODY BIBLE INSTITUTE OF CHICAGO                                        
145,WNAP-FM     ,39.7060833333333,-85.4946666666667,88.1,0.01,111.0,IN ,"NEW BEGINNINGS MOVEMENT, INC.                                               "
149,WNAS        ,38.2989444444444,-85.8124444444444,88.1,0.01,1.0,IN ,NEW ALBANY-FLOYD CTY.CON.SCH.CORP.                                          
150,WKRY        ,39.0683888888889,-85.2660833333333,88.1,0.01,92.0,IN ,GOOD SHEPHERD RADIO INC.                                                    
151,W201BO,38.6839444444444,-87.4355833333333,88.1,0.01,0.0,IN ,BETHEL BAPTIST CHURCH                                                       
152,WSRC        ,40.1500277777778,-86.9038888888889,88.1,0.01,119.0,IN ,"CALVARY CHAPEL OF CRAWFORDSVILLE, INC.                                      "
153,K201JF,39.4022222222222,-98.1283888888889,88.1,0.01,0.0,KS ,AMERICAN FAMILY ASSOCIATION                                                 
154,KZCK        ,39.3511111111111,-101.054055555556,88.1,0.01,109.0,KS ,"THE PRAISE NETWORK, INC.                                                    "
155,KBTL        ,37.8044722222222,-96.8841944444445,88.1,0.01,28.0,KS ,BUTLER COUNTY COMMUNITY COLLEGE                                             
156,KRTT        ,38.3627777777778,-98.76425,88.1,0.01,39.0,KS ,"DIVINE MERCY RADIO, INC.                                                    "
157,KVDM        ,38.9580555555556,-99.3522222222222,88.1,0.01,82.0,KS ,"DIVINE MERCY RADIO, INC.                                                    "
158,KJVL        ,38.0544444444444,-97.9308888888889,88.1,0.01,57.0,KS ,"GREAT PLAINS CHRISTIAN RADIO, INC.                                          "
159,KBCU        ,38.073888888888895,-97.3433611111111,88.1,0.01,17.0,KS ,BETHEL COLLEGE                                                              
160,KJTY        ,39.0391666666667,-95.4499722222222,88.1,0.01,234.0,KS ,INTENTIONAL LIFE MEDIA                                                      
161,KLCM        ,37.5916111111111,-101.357638888889,88.1,0.01,10.0,KS ,LIBERTAD EN CRISTO MINISTRIES                                               
162,WAYD        ,36.9603333333333,-86.5469444444445,88.1,0.01,113.0,KY ,HOPE MEDIA GROUP                                                            
163,WTRT        ,36.8100277777778,-88.3591944444444,88.1,0.01,93.9,KY ,"PENNYRILE CHRISTIAN COMMUNITY, INC.                                         "
164,W201DD,37.2916944444444,-87.1083055555556,88.1,0.01,0.0,KY ,HOPE MEDIA GROUP                                                            
165,WDFB-FM     ,37.5961666666667,-84.8385555555555,88.1,0.01,100.0,KY ,ALUM SPRINGS EDUCATIONAL CORPORATION                                        
166,WUIC        ,36.8013888888889,-83.3769444444444,88.1,0.01,440.0,KY ,"TORSTRICK MINISTRIES, INC.                                                  "
167,WTRL        ,37.4819444444444,-85.6880555555556,88.1,0.01,86.0,KY ,FREEDOM'S WAY ASSEMBLY OF GOD                                               
168,WRFL        ,38.0386944444444,-84.5043888888889,88.1,0.01,87.0,KY ,"BOARD OF TRUSTEES, UNIVERSITY OF KENTUCKY                                   "
169,WEKM-FM     ,38.6875833333333,-83.8129166666667,88.1,0.01,68.0,KY ,EASTERN KENTUCKY UNIVERSITY                                                 
170,WAXG        ,38.06091666666671,-83.9554722222222,88.1,0.01,53.0,KY ,AMERICAN FAMILY ASSOCIATION                                                 
171,WKVY        ,37.07675,-84.8107777777778,88.1,0.01,160.3,KY ,EDUCATIONAL MEDIA FOUNDATION                                                
172,KAYT        ,31.5654444444444,-92.5501388888889,88.1,0.01,307.0,LA ,"BLACK MEDIA WORKS, INC.                                                     "
173,K201FO,30.1918611111111,-92.6215277777778,88.1,0.01,82.8,LA ,CSN INTERNATIONAL                                                           
174,KPAQ        ,30.2615833333333,-91.3112222222222,88.1,0.01,91.0,LA ,AMERICAN FAMILY ASSOCIATION                                                 
175,WMBR        ,42.3616944444444,-71.0855277777778,88.1,0.01,92.0,MA ,TECHNOLOGY BROADCASTING CORPORATION                                         
176,WSBR        ,42.2830555555556,-73.2522222222222,88.1,0.01,-112.0,MA ,"PITTSFIELD COMMUNITY CABLE BROADCASTING, INC                                "
177,WJFE        ,41.285,-70.1397222222222,88.1,0.01,54.0,MA ,"NANTUCKET PUBLIC RADIO, INC.                                                "
178,WFHL        ,41.6376111111111,-70.8714166666667,88.1,0.01,41.0,MA ,"NEW BEDFORD CHRISTIAN RADIO, INC.                                           "
179,WCHC        ,42.2375833333333,-71.8081111111111,88.1,0.01,-2.0,MA ,COLLEGE OF THE HOLY CROSS                                                   
180,WYPR        ,39.3315,-76.6574722222222,88.1,0.01,129.6,MD ,WYPR                                                                        
181,WYPF        ,39.4920555555556,-77.4997222222222,88.1,0.01,339.7,MD ,"WYPR LICENSE HOLDING, LLC                                                   "
182,WGWS        ,38.1454166666667,-76.3724444444444,88.1,0.01,53.0,MD ,"CSN INTERNATIONAL, INC.                                                     "
184,WMEY        ,44.1078611111111,-69.9242222222222,88.1,0.01,64.0,ME ,"LIGHT OF LIFE MINISTRIES, INC.                                              "
185,WMEK        ,43.4181111111111,-70.8006388888889,88.1,0.01,187.0,ME ,WORD RADIO EDUCATIONAL FOUNDATION                                           
186,W201CF,43.9005555555556,-85.7595,88.1,0.01,26.4,MI ,CSN INTERNATIONAL                                                           
187,WODS-LP     ,43.6825,-85.4947222222222,88.1,0.01,12.0,MI ,BIG RAPIDS WIRELESS INC                                                     
188,WBFH        ,42.5778055555556,-83.2860555555556,88.1,0.01,51.0,MI ,BLOOMFIELD HILLS SCHOOL DISTRICT                                            
190,WBLW        ,45.17,-84.7511388888889,88.1,0.01,260.0,MI ,"GRACE BAPTIST CHURCH OF GAYLORD, MICHIGAN                                   "
191,WHYT        ,43.1750277777778,-83.0671666666667,88.1,0.01,177.0,MI ,SMILE FM                                                                    
192,WSFP        ,44.7033333333333,-83.5241388888889,88.1,0.01,143.0,MI ,MICHIGAN COMMUNITY RADIO                                                    
193,WHPR-FM     ,42.4080833333333,-83.0915833333333,88.1,0.01,32.0,MI ,R.J.'S LATE NIGHT ENTERTAINMENT CORPORATION                                 
194,-           ,44.2891666666667,-84.7422222222222,88.1,0.01,248.0,MI ,FULL POTENTIAL                                                              
195,WLGH        ,42.7055833333333,-84.3574722222222,88.1,0.01,174.0,MI ,SMILE FM                                                                    
196,WSMF        ,41.9189166666667,-83.3760277777778,88.1,0.01,41.0,MI ,NORTHLAND COMMUNITY BROADCASTERS                                            
197,WSDP        ,42.3494722222222,-83.4957777777778,88.1,0.01,16.0,MI ,PLYMOUTH-CANTON COMMUNITY SCHOOLS                                           
199,WYCE        ,42.9119722222222,-85.6833611111111,88.1,0.01,50.0,MI ,GRAND RAPIDS CABLE ACCESS CENTER                                            
200,KGPL        ,47.7825277777778,-96.5905833333333,88.1,0.01,26.0,MN ,"WE HAVE THIS HOPE CHRISTIAN RADIO, INC.                                     "
201,KAWD        ,46.8285555555556,-95.8291944444444,88.1,0.01,-4.0,MN ,"CHRISTIAN MEDIA, INC.                                                       "
202,KDGR        ,47.2181944444445,-93.5474444444444,88.1,0.01,55.0,MN ,UNIVERSITY OF NORTHWESTERN - ST. PAUL                                       
203,K201BW,43.757583333333294,-91.2900555555556,88.1,0.01,0.0,MN ,MINNESOTA PUBLIC RADIO                                                      
204,KJCA        ,44.4698888888889,-95.7736388888889,88.1,0.01,51.0,MN ,MINN-IOWA CHRISTIAN BROADCASTING                                            
206,WAJC        ,44.7207777777778,-93.0321388888889,88.1,0.01,22.0,MN ,MARANATHA ASSEMBLY OF GOD CHURCH                                            
207,KRLX        ,44.4607777777778,-93.1560277777778,88.1,0.01,5.0,MN ,CARLETON COLLEGE                                                            
208,KRFI        ,44.5410833333333,-95.1830555555556,88.1,0.01,51.1,MN ,MINNESOTA PUBLIC RADIO                                                      
209,KBQA        ,43.9051666666667,-92.6198333333333,88.1,0.01,44.0,MN ,"ONE DAY CHURCH PROJECT, INC.                                                "
211,KVSC        ,45.5166111111111,-94.2313611111111,88.1,0.01,136.0,MN ,ST. CLOUD STATE UNIVERSITY                                                  
212,KRLP        ,43.8841111111111,-95.1825,88.1,0.01,118.0,MN ,EDUCATIONAL MEDIA FOUNDATION                                                
213,KLFC        ,36.5517222222222,-93.2382222222222,88.1,0.01,119.0,MO ,"MOUNTAINTOP BROADCASTING, INC.                                              "
214,KZGM        ,37.1208888888889,-92.0026666666667,88.1,0.01,135.0,MO ,"REAL COMMUNITY RADIO NETWORK, INC.                                          "
215,KLWL        ,39.8150277777778,-93.5885555555555,88.1,0.01,103.0,MO ,CSN INTERNATIONAL                                                           
216,KCOU        ,38.9400277777778,-92.3212777777778,88.1,0.01,44.0,MO ,THE CURATORS OF THE UNIVERSITY OF MISSOURI                                  
217,KFCJ        ,37.0777777777778,-94.1341666666667,88.1,0.01,62.0,MO ,"COMMUNITY BROADCASTING, INC.                                                "
219,KHYB        ,36.4986111111111,-89.8544444444444,88.1,0.01,98.0,MO ,CROSSROADS WORSHIP CENTER                                                   
220,K201GD,40.17475,-92.5551944444444,88.1,0.01,0.0,MO ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          "
221,KDHX        ,38.4169722222222,-90.4331666666667,88.1,0.01,225.0,MO ,DOUBLE HELIX CORPORATION. DEBTOR-IN-POSSESSION                              
223,KHJR        ,38.552611111111105,-92.2041944444445,88.1,0.01,89.1,MO ,COVENANT NETWORK                                                            
224,KRNM        ,15.1513888888889,145.719722222222,88.1,0.01,38.0,MP ,"MARIANAS EDUCATIONAL MEDIA SERVICES, INC.                                   "
225,WAIT        ,34.2003055555556,-90.5730833333333,88.1,0.01,0.0,MS ,OPEN SKY RADIO CORP                                                         
226,WDSW-LP     ,33.7445555555556,-90.7356388888889,88.1,0.01,0.0,MS ,DELTA STATE UNIVERSITY                                                      
227,WOLM        ,30.4438055555556,-88.8483611111111,88.1,0.01,66.0,MS ,"RADIO MARIA, INC.                                                           "
228,WYJL        ,33.9453888888889,-89.6484166666667,88.1,0.01,61.0,MS ,ELIJAH RADIO                                                                
229,WURC        ,34.7814722222222,-89.4470277777778,88.1,0.01,83.0,MS ,"RUST COLLEGE, INC.                                                          "
230,WMAW-FM     ,32.1384722222222,-89.0933888888889,88.1,0.01,320.0,MS ,MISSISSIPPI AUTHORITY FOR EDUCATIONAL TV                                    
231,KGFJ        ,47.1594166666667,-111.011611111111,88.1,0.01,597.3,MT ,CSN INTERNATIONAL                                                           
232,KOFK-FM     ,45.6388055555556,-111.266333333333,88.1,0.01,213.0,MT ,GUILD OF ST. PETER EDUCATIONAL ASSOCIATION                                  
