Unnamed: 0,station_id,latitude,longitude,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee,bandwidth_khz,power_watts,beamwidth_deg,assigned_frequency
0,KKQA        _0,54.135,-165.772777777778,88.1,0.01,258.0,AK ,"ALEUTIAN PENINSULA BROADCASTING, INC.                                       ",200.0,1000.0,360.0,88.80000000000001
1,KRUA        _1,61.3357777777778,-149.515611111111,88.1,0.01,297.0,AK ,UNIVERSITY OF ALASKA                                                        ,200.0,1000.0,360.0,89.20000000000002
2,K201CH_2,60.0651944444444,-148.012305555556,88.1,0.01,224.0,AK ,"TERMINAL RADIO, INC.                                                        ",200.0,1000.0,360.0,88.4
3,KCUK        _3,61.5286111111111,-165.591222222222,88.1,0.01,24.0,AK ,KASHUNAMIUT SCHOOL DISTRICT                                                 ,200.0,1000.0,360.0,89.20000000000002
4,KCUK        _4,61.5217777777778,-166.096305555556,88.1,0.01,14.0,AK ,KASHUNAMIUT SCHOOL DISTRICT                                                 ,200.0,1000.0,360.0,88.0
5,KCUK        _5,61.5311944444444,-165.585527777778,88.1,0.01,15.0,AK ,KASHUNAMIUT SCHOOL DISTRICT                                                 ,200.0,1000.0,360.0,88.80000000000001
6,K201BI_6,60.5533333333333,-145.733638888889,88.1,0.01,0.0,AK ,"TERMINAL RADIO, INC.                                                        ",200.0,1000.0,360.0,89.20000000000002
7,KFPS        _7,54.8557777777778,-163.414194444444,88.1,0.01,132.0,AK ,"ALEUTIAN PENINSULA BROADCASTING, INC.                                       ",200.0,1000.0,360.0,89.20000000000002
8,KIYU-FM     _8,64.7408055555556,-156.876027777778,88.1,0.01,11.0,AK ,BIG RIVER PUBLIC BROADCASTING CORPORATION                                   ,200.0,1000.0,360.0,88.0
9,K201AM_9,58.4174166666667,-135.710138888889,88.1,0.01,0.0,AK ,"CAPITAL COMMUNITY BROADCASTING, INC.                                        ",200.0,1000.0,360.0,88.80000000000001
10,KAKI        _10,58.301111111111105,-134.442222222222,88.1,0.01,27.0,AK ,EDUCATIONAL MEDIA FOUNDATION                                                ,200.0,1000.0,360.0,89.20000000000002
11,K201AH_11,70.1264722222222,-143.621666666667,88.1,0.01,0.0,AK ,"SILAKKUAGVIK COMMUNICATIONS, INC.                                           ",200.0,1000.0,360.0,88.0
12,KOGJ        _12,60.522,-151.073444444444,88.1,0.01,61.0,AK ,CSN INTERNATIONAL                                                           ,200.0,1000.0,360.0,88.0
13,KOGJ        _13,60.5219166666667,-151.073333333333,88.1,0.01,104.0,AK ,CSN INTERNATIONAL                                                           ,200.0,1000.0,360.0,88.80000000000001
14,K201EG_14,55.3535555555556,-131.684194444444,88.1,0.01,0.0,AK ,EDUCATIONAL MEDIA FOUNDATION                                                ,200.0,1000.0,360.0,89.20000000000002
15,K201DA_15,55.0602222222222,-162.328666666667,88.1,0.01,0.0,AK ,"ALEUTIAN PENINSULA BROADCASTING, INC.                                       ",200.0,1000.0,360.0,88.4
16,K201AG_16,70.2138333333333,-150.990583333333,88.1,0.01,0.0,AK ,"SILAKKUAGVIK COMMUNICATIONS, INC.                                           ",200.0,1000.0,360.0,88.0
17,K201AV_17,69.7293888888889,-163.016527777778,88.1,0.01,0.0,AK ,"SILAKKUAGVIK COMMUNICATIONS, INC.                                           ",200.0,1000.0,360.0,88.80000000000001
18,K201AL_18,56.32075,-133.029194444444,88.1,0.01,0.0,AK ,NARROWS BROADCASTING CORPORATION                                            ,200.0,1000.0,360.0,89.20000000000002
19,K201AO_19,60.10275,-149.438805555556,88.1,0.01,0.0,AK ,"PUFFIN PUBLIC BROADCASTING, INC.                                            ",200.0,1000.0,360.0,88.4
20,K201CL_20,60.8683333333333,-146.681722222222,88.1,0.01,0.0,AK ,"TERMINAL RADIO, INC.                                                        ",200.0,1000.0,360.0,88.0
21,WKRE        _21,33.6953611111111,-86.5174722222222,88.1,0.01,120.0,AL ,"ELIJAH RADIO, INC.                                                          ",200.0,1000.0,360.0,88.0
22,WSJL        _22,33.3959444444444,-87.0186111111111,88.1,0.01,98.0,AL ,"ELIJAH RADIO, INC.                                                          ",200.0,1000.0,360.0,88.80000000000001
23,WAYH        _23,34.8189722222222,-86.7386111111111,88.1,0.01,204.0,AL ,HOPE MEDIA GROUP                                                            ,200.0,1000.0,360.0,88.4
24,WOKM-LP     _24,30.6994444444444,-88.1219444444444,88.1,0.01,12.0,AL ,MOBILE ENVIRONMENTAL JUSTICE ACTION COALITION                               ,200.0,1000.0,360.0,88.0
25,KBAP        _25,35.7978333333333,-91.67125,88.1,0.01,0.0,AR ,TONY V. HAMMACK MINISTRIES                                                  ,200.0,1000.0,360.0,88.0
26,KRQA        _26,36.3936944444444,-94.1815833333333,88.1,0.01,70.0,AR ,EDUCATIONAL MEDIA FOUNDATION                                                ,200.0,1000.0,360.0,88.80000000000001
27,KBPW        _27,33.5365,-92.4687777777778,88.1,0.01,103.0,AR ,AMERICAN FAMILY ASSOCIATION                                                 ,200.0,1000.0,360.0,88.4
28,KCGS-FM     _28,35.9013888888889,-92.6161111111111,88.1,0.01,191.0,AR ,"ICHTHUS FAMILY HOPE, INC.                                                   ",200.0,1000.0,360.0,88.0
29,KGIF        _29,14.3225,-170.763055555556,88.1,0.01,53.0,AS ,LEONE CHURCH OF CHRIST                                                      ,200.0,1000.0,360.0,88.0
30,KTHO        _30,34.4900722222222,-112.533813888889,88.1,0.01,131.0,AZ ,"ADVANCE MINISTRIES, INC.                                                    ",200.0,1000.0,360.0,88.80000000000001
31,K201IB_31,34.42225,-110.566222222222,88.1,0.01,20.6,AZ ,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL                   ",200.0,1000.0,360.0,88.4
32,K201ER_32,34.9180833333333,-110.140944444444,88.1,0.01,0.0,AZ ,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL                   ",200.0,1000.0,360.0,88.4
33,KUYI        _33,35.8080555555556,-110.27375,88.1,0.01,124.0,AZ ,THE HOPI FOUNDATION                                                         ,200.0,1000.0,360.0,88.0
34,KLTU        _34,32.2489444444445,-111.116972222222,88.1,0.01,243.0,AZ ,EDUCATIONAL MEDIA FOUNDATION                                                ,200.0,1000.0,360.0,88.0
35,KPJM        _35,34.2878055555556,-111.193444444444,88.1,0.01,268.0,AZ ,"KPJM-LP, INC.                                                               ",200.0,1000.0,360.0,89.20000000000002
36,KREE        _36,31.3484444444444,-109.480055555556,88.1,0.01,46.0,AZ ,"RADIO BILINGUE, INC.                                                        ",200.0,1000.0,360.0,88.4
37,K202BU_37,33.6675277777778,-114.059916666667,88.1,0.01,0.0,AZ ,"ADVANCE MINISTRIES, INC. D/B/A                                              ",200.0,1000.0,360.0,88.0
38,KNNB        _38,33.7630833333333,-109.961472222222,88.1,0.01,183.0,AZ ,APACHE RADIO BROADCASTING CORPORATION                                       ,200.0,1000.0,360.0,88.0
39,KCFY        _39,32.642,-114.560222222222,88.1,0.01,73.0,AZ ,"RELEVANT MEDIA, INC.                                                        ",200.0,1000.0,360.0,88.80000000000001
40,KRTM        _40,34.0377777777778,-116.814194444444,88.1,0.01,54.0,CA ,"PENFOLD COMMUNICATIONS, INC.                                                ",200.0,1000.0,360.0,89.20000000000002
41,K201BV_41,38.00686111111111,-122.143833333333,88.1,0.01,0.0,CA ,KQED INC.                                                                   ,200.0,1000.0,360.0,88.4
42,KWTF        _42,38.36075,-122.975166666667,88.1,0.01,0.0,CA ,KWTF RADIO                                                                  ,200.0,1000.0,360.0,88.80000000000001
43,KDUP        _43,41.63683333333329,-120.092138888889,88.1,0.01,328.0,CA ,SURPRISE VALLEY CULTURE AND ARTS                                            ,200.0,1000.0,360.0,88.80000000000001
44,K201AD_44,35.4799444444445,-117.683944444444,88.1,0.01,0.0,CA ,"INDIAN WELLS VALLEY TV BOOSTER, INC.                                        ",200.0,1000.0,360.0,89.20000000000002
45,KECG        _45,37.9054722222222,-122.293833333333,88.1,0.01,331.0,CA ,WEST CONTRA COSTA UNIFIED SCHOOL DISTRICT                                   ,200.0,1000.0,360.0,88.80000000000001
46,KMUE        _46,40.7273611111111,-123.972555555556,88.1,0.01,134.0,CA ,REDWOOD COMMUNITY RADIO                                                     ,200.0,1000.0,360.0,88.80000000000001
